name,essround,edition,proddate,idno,cntry,dweight,pspwght,pweight,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,sclmeet,sclact,hhmmb,gndr,yrbrn,agea,eisced,edulvlb,crpdwk,hincfel,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
ESS9e03_1,9,3.1,17.02.2021,54831,DE,0.9994662404060364,1.2347224950790405,3.0373449325561523,9,8,8,6,5,6,8,1,5,2,3,1,1979,39,5,423,6,3,2,4,2,3,3,2,6,2,2,3,2,2,3,2,3,4,3,2,1,3,3
ESS9e03_1,9,3.1,17.02.2021,54834,DE,0.9994662404060364,0.7660266757011414,3.0373449325561523,7,4,5,3,2,4,3,1,7,3,2,2,1935,83,7,720,2,1,1,4,1,3,3,2,4,2,3,4,2,1,3,3,4,3,3,2,1,2,3
ESS9e03_1,9,3.1,17.02.2021,54877,DE,0.9994662404060364,0.9954758286476135,3.0373449325561523,8,9,7,5,3,6,7,1,4,3,4,1,1970,48,3,322,6,2,2,5,2,5,2,3,5,1,4,2,2,2,2,2,5,5,4,2,2,2,4
ESS9e03_1,9,3.1,17.02.2021,54899,DE,0.9994662404060364,1.0458701848983765,3.0373449325561523,7,7,4,4,5,5,6,3,4,3,4,1,2003,15,1,113,2,1,3,3,2,2,2,4,3,3,3,1,2,2,3,3,4,3,3,2,3,3,3
ESS9e03_1,9,3.1,17.02.2021,54945,DE,0.9994662404060364,2.0605530738830566,3.0373449325561523,1,4,7,1,1,2,2,1,3,2,1,2,1941,77,2,212,2,2,3,5,2,5,2,2,6,2,2,2,1,2,4,2,5,3,5,2,1,4,2
ESS9e03_1,9,3.1,17.02.2021,55014,DE,0.9994662404060364,2.054727077484131,3.0373449325561523,5,8,8,5,5,7,6,3,7,3,2,2,1953,66,2,229,2,2,3,4,2,4,2,2,5,2,2,2,2,2,4,2,5,2,5,2,2,2,5
ESS9e03_1,9,3.1,17.02.2021,55019,DE,0.9994662404060364,0.8562074303627014,3.0373449325561523,8,8,8,8,7,8,8,3,4,3,3,2,2001,17,2,213,2,1,3,4,2,2,2,2,3,2,3,2,2,2,2,2,3,3,3,1,2,2,2
ESS9e03_1,9,3.1,17.02.2021,55050,DE,0.9994662404060364,2.612596273422241,3.0373449325561523,2,2,7,4,3,3,4,1,6,2,4,2,1977,42,2,213,6,1,2,3,2,4,2,4,2,1,3,3,2,1,3,2,6,2,4,1,1,2,4
ESS9e03_1,9,3.1,17.02.2021,55051,DE,0.9994662404060364,0.8540229201316833,3.0373449325561523,5,4,8,5,5,4,3,1,3,4,4,2,1956,62,3,322,2,2,3,5,2,5,2,3,3,2,2,2,2,2,6,2,5,2,5,2,2,2,5
ESS9e03_1,9,3.1,17.02.2021,55055,DE,0.9994662404060364,2.054727077484131,3.0373449325561523,6,9,9,7,7,5,8,1,4,2,2,2,1952,66,2,213,2,1,3,6,1,5,2,3,1,1,1,2,1,1,3,1,6,4,5,2,2,2,3
